file_id,image_id,video_id,cam_trap,species,num_animal,year,month,day,hour,minute,second,file_path,file_name,file_type,data_type,species_new,num_animal_new,file_path_new,file_name_new,species_binary,genus,family,order,class,split
0014,0001,,SSAMLD2_2,Guerlinguetus,01,2019,04,10,08,47,30,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/txt/test,test_0001_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_10_08_47_30.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test
0015,0002,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,20,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0002_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_20.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0016,0003,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,22,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0003_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_22.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0017,0004,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,24,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0004_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_24.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0018,0005,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,26,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0005_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_26.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0019,0000,,SSAMLD2_2,Guerlinguetus,01,2019,03,27,07,26,16,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0000_SSAMLD2_2_SciurusGuerlinguetus_01_2019_03_27_07_26_16.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0020,0001,,SSAMLD2_2,Guerlinguetus,01,2019,04,10,08,47,30,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/xml/test,test_0001_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_10_08_47_30.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test
0021,0002,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,20,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0002_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_20.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0022,0003,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,22,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0003_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_22.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0023,0004,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,24,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0004_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_24.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0024,0005,,SSAMLD2_2,Guerlinguetus,01,2019,04,11,08,48,26,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0005_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_11_08_48_26.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0025,0000,,SSAMLD2_2,Guerlinguetus,01,2019,03,27,07,26,16,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0000_SSAMLD2_2_SciurusGuerlinguetus_01_2019_03_27_07_26_16.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,trainval
0026,0001,,SSAMLD2_2,Guerlinguetus,01,2019,04,10,08,47,30,./data/raw/brazil_amld/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,SciurusGuerlinguetus,01,./data/interim/brazil_amld/bbox/csv/test,test_0001_SSAMLD2_2_SciurusGuerlinguetus_01_2019_04_10_08_47_30.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test
0027,0006,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,49,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,2019 02 08 21 30 49.JPG,jpg,image,MarmosopsIncanus,01,./data/interim/brazil_amld/image/trainval,trainval_0006_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.jpg,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0028,0007,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,51,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,2019 02 08 21 30 51.JPG,jpg,image,MarmosopsIncanus,01,./data/interim/brazil_amld/image/trainval,trainval_0007_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.jpg,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0029,0006,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,49,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095716.zip,txt,bbox,MarmosopsIncanus,01,./data/interim/brazil_amld/bbox/txt/trainval,trainval_0006_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.txt,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0030,0007,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,51,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095716.zip,txt,bbox,MarmosopsIncanus,01,./data/interim/brazil_amld/bbox/txt/trainval,trainval_0007_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.txt,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0031,0006,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,49,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095719.zip,xml,bbox,MarmosopsIncanus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0006_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.xml,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0032,0007,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,51,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095719.zip,xml,bbox,MarmosopsIncanus,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0007_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.xml,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0033,0006,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,49,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095722.csv,csv,bbox,MarmosopsIncanus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0006_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.csv,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0034,0007,,SSAMLD2_2,MarmosopsIncanus,01,2019,02,08,21,30,51,./data/raw/brazil_amld/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095722.csv,csv,bbox,MarmosopsIncanus,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0007_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.csv,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,trainval
0035,0008,,SSAMLD2_2,Ghost,,2018,08,21,03,54,28,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2018 08 21 03 54 28.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/test,test_0008_SSAMLD2_2_Ghost_01_2018_08_21_03_54_28.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,test
0036,0009,,SSAMLD2_2,Ghost,,2019,01,11,02,48,12,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 01 11 02 48 12.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0009_SSAMLD2_2_Ghost_01_2019_01_11_02_48_12.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0037,0010,,SSAMLD2_2,Ghost,,2019,02,12,14,04,53,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 02 12 14 04 53.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0010_SSAMLD2_2_Ghost_01_2019_02_12_14_04_53.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0038,0011,,SSAMLD2_2,Ghost,,2019,02,26,00,17,59,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 02 26 00 17 59.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/test,test_0011_SSAMLD2_2_Ghost_01_2019_02_26_00_17_59.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,test
0039,0012,,SSAMLD2_2,Ghost,,2019,03,06,04,11,46,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 03 06 04 11 46.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0012_SSAMLD2_2_Ghost_01_2019_03_06_04_11_46.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0040,0013,,SSAMLD2_2,Ghost,,2019,03,06,04,11,48,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 03 06 04 11 48.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0013_SSAMLD2_2_Ghost_01_2019_03_06_04_11_48.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0041,0014,,SSAMLD2_2,Ghost,,2019,03,21,20,22,13,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 03 21 20 22 13.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0014_SSAMLD2_2_Ghost_01_2019_03_21_20_22_13.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0042,0015,,SSAMLD2_2,Ghost,,2019,04,10,08,47,33,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 04 10 08 47 33.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0015_SSAMLD2_2_Ghost_01_2019_04_10_08_47_33.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0043,0016,,SSAMLD2_2,Ghost,,2019,04,21,08,49,27,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 04 21 08 49 27.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0016_SSAMLD2_2_Ghost_01_2019_04_21_08_49_27.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0044,0017,,SSAMLD2_2,Ghost,,2019,05,23,07,55,19,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 05 23 07 55 19.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/test,test_0017_SSAMLD2_2_Ghost_01_2019_05_23_07_55_19.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,test
0045,0018,,SSAMLD2_2,Ghost,,2019,06,01,09,28,43,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 06 01 09 28 43.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0018_SSAMLD2_2_Ghost_01_2019_06_01_09_28_43.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0046,0019,,SSAMLD2_2,Ghost,,2019,06,07,07,18,25,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 06 07 07 18 25.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0019_SSAMLD2_2_Ghost_01_2019_06_07_07_18_25.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0047,0020,,SSAMLD2_2,Ghost,,2019,06,23,19,06,03,./data/raw/brazil_amld/SSAMLD2_2/Ghost,2019 06 23 19 06 03.JPG,jpg,image,Ghost,01,./data/interim/brazil_amld/image/trainval,trainval_0020_SSAMLD2_2_Ghost_01_2019_06_23_19_06_03.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,trainval
0048,0021,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,37,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,2019 05 16 06 02 37.JPG,jpg,image,LeopardusWiedii,01,./data/interim/brazil_amld/image/trainval,trainval_0021_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0049,0022,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,39,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,2019 05 16 06 02 39.JPG,jpg,image,LeopardusWiedii,01,./data/interim/brazil_amld/image/trainval,trainval_0022_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0050,0023,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,41,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,2019 05 16 06 02 41.JPG,jpg,image,LeopardusWiedii,01,./data/interim/brazil_amld/image/test,test_0023_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,test
0051,0024,,SSAMLD2_2,LeopardusWiedii,01,2019,05,20,03,04,27,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,2019 05 20 03 04 27.JPG,jpg,image,LeopardusWiedii,01,./data/interim/brazil_amld/image/trainval,trainval_0024_SSAMLD2_2_LeopardusWiedii_01_2019_05_20_03_04_27.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0052,0021,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,37,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/txt/trainval,trainval_0021_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0053,0022,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,39,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/txt/trainval,trainval_0022_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0054,0023,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,41,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/txt/test,test_0023_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,test
0055,0024,,SSAMLD2_2,LeopardusWiedii,01,2019,05,20,03,04,27,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/txt/trainval,trainval_0024_SSAMLD2_2_LeopardusWiedii_01_2019_05_20_03_04_27.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0056,0021,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,37,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0021_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0057,0022,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,39,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0022_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0058,0023,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,41,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/xml/test,test_0023_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,test
0059,0024,,SSAMLD2_2,LeopardusWiedii,01,2019,05,20,03,04,27,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/xml/trainval,trainval_0024_SSAMLD2_2_LeopardusWiedii_01_2019_05_20_03_04_27.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0060,0021,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,37,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094326.csv,csv,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0021_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.csv,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0061,0022,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,39,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094326.csv,csv,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0022_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.csv,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
0062,0023,,SSAMLD2_2,LeopardusWiedii,01,2019,05,16,06,02,41,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094326.csv,csv,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/csv/test,test_0023_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.csv,Animal,Leopardus,Felidae,Carnivora,Mammalia,test
0063,0024,,SSAMLD2_2,LeopardusWiedii,01,2019,05,20,03,04,27,./data/raw/brazil_amld/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094326.csv,csv,bbox,LeopardusWiedii,01,./data/interim/brazil_amld/bbox/csv/trainval,trainval_0024_SSAMLD2_2_LeopardusWiedii_01_2019_05_20_03_04_27.csv,Animal,Leopardus,Felidae,Carnivora,Mammalia,trainval
